,companyName,Ranking Actual,craftWebsite,imgUrl
129,NGL Energy Partners,127,https://craft.co/ngl-energy-partners,https://uploads4.craft.co/uploads/company/logo/115xx/11550/normal_2eec7015ccf78fc9.jpg
130,CBRE Group,128,https://craft.co/cbre,https://uploads4.craft.co/uploads/company/logo/1164xx/116484/normal_3a883d840ab3e5b6.jpg
131,Baker Hughes,129,https://craft.co/baker-hughes,https://uploads1.craft.co/uploads/company/logo/1714xx/171439/normal_f6c1a7b144694dc3.jpg
132,Synnex,130,https://craft.co/synnex-corporation,https://uploads5.craft.co/uploads/company/logo/115xx/11503/normal_7ffce14892bbc9ee.jpg
133,Dollar Tree,131,https://craft.co/dollar-tree,https://uploads2.craft.co/uploads/company/logo/1213xx/121360/normal_33a540500777eb5f.png
134,Cummins,132,https://craft.co/cummins,https://uploads4.craft.co/uploads/company/logo/1058xx/105829/normal_8f7e52edf257b0bf.jpg
135,United Natural Foods,133,https://craft.co/united-natural-foods,https://uploads1.craft.co/uploads/company/logo/1983xx/198391/normal_8edf73ca74dd010b.jpg
136,Micron Technology,134,https://craft.co/micron-technology,https://uploads5.craft.co/uploads/company/logo/255xx/25550/normal_abe3c96daaa82f34.jpeg
137,Amgen,135,https://craft.co/amgen,https://uploads5.craft.co/uploads/company/logo/313xx/31301/normal_3eb414a4ebcf0be0.jpg
138,Penske Automotive Group,136,https://craft.co/penske-automotive-group,https://uploads5.craft.co/uploads/company/logo/2122xx/212265/normal_3775e88fb0dfe692.jpg
139,Visa,137,https://craft.co/visa,
140,Broadcom,138,https://craft.co/broadcom,https://uploads5.craft.co/uploads/company/logo/276xx/27679/normal_8e16a93b7880d5c2.png
141,Nucor,139,https://craft.co/nucor,https://uploads3.craft.co/uploads/company/logo/1213xx/121311/normal_f8eef1e4cf9c5e9f.jpeg
142,Gilead Sciences,140,https://craft.co/gilead-sciences,https://uploads3.craft.co/uploads/company/logo/525xx/52595/normal_22d2ba3b381617a9.jpg
143,Southwest Airlines,141,https://craft.co/southwest-airlines,https://uploads4.craft.co/uploads/company/logo/19xx/1950/normal_06e1f74d6825417a.png
144,Halliburton,142,https://craft.co/halliburton,https://uploads2.craft.co/uploads/company/logo/107xx/10748/normal_ac347ec41d775920.jpg
145,CenturyLink,143,https://craft.co/centurylink-cloud,
146,International Paper,144,https://craft.co/international-paper,https://uploads3.craft.co/uploads/company/logo/106xx/10661/normal_93d4417a49c0f9d4.jpeg
147,Eli Lilly,145,https://craft.co/eli-lilly,https://uploads3.craft.co/uploads/company/logo/20xx/2059/normal_8ee50ee9646c61e1.jpg
148,Aflac,146,https://craft.co/aflac,https://uploads4.craft.co/uploads/company/logo/897xx/89706/normal_3bc6a1ab4d163e1c.png
149,Lennar,147,https://craft.co/lennar,https://uploads2.craft.co/uploads/company/logo/1537xx/153727/normal_16def8e6ca842cb5.jpg
150,Occidental Petroleum,148,https://craft.co/occidental-petroleum-corporation,https://uploads2.craft.co/uploads/company/logo/554xx/55437/normal_f62c2943b3f65ebf.jpg
151,Union Pacific,149,https://craft.co/union-pacific,https://uploads1.craft.co/uploads/company/logo/1654xx/165493/normal_s8FiKiCm_400x400.png
152,Rite Aid,150,https://craft.co/rite-aid,https://uploads3.craft.co/uploads/company/logo/993xx/99380/normal_7a8fd0ef474168cd.jpg
153,PNC Financial Services Group,151,https://craft.co/the-pnc-financial-services-group,https://uploads3.craft.co/uploads/company/logo/2493xx/249379/normal_bcfbb5798901adec.png
154,DuPont,152,https://craft.co/dupont,https://uploads2.craft.co/uploads/company/logo/2492xx/249295/normal_efc21665ba96fecf.jpg
155,Southern,153,https://craft.co/southern-company,https://uploads3.craft.co/uploads/company/logo/581xx/58132/normal_93ec76f6370667e2.png
156,AutoNation,154,https://craft.co/autonation,https://uploads3.craft.co/uploads/company/logo/852xx/85226/normal_1b78b046a35e918c.jpg
157,DXC Technology,155,https://craft.co/dxc-technology,https://uploads5.craft.co/uploads/company/logo/17xx/1799/normal_7e1c096265ef5afb.jpg
158,McDonald's,156,https://craft.co/mcdonald-s,https://uploads3.craft.co/uploads/company/logo/20xx/2035/normal_NLjAILYa.png
159,Marriott International,157,https://craft.co/marriot-international,https://uploads1.craft.co/uploads/company/logo/19xx/1945/normal_aa88d2286f06a254.jpg
160,ManpowerGroup,158,https://craft.co/manpowergroup,https://uploads3.craft.co/uploads/company/logo/1502xx/150214/normal_029106303e3585fb.jpg
161,Bank of New York Mellon,159,https://craft.co/bny-mellon,https://uploads3.craft.co/uploads/company/logo/108xx/10894/normal_990aac0b8052c96d.png
162,Hartford Financial Services Group,160,https://craft.co/the-hartford,https://uploads5.craft.co/uploads/company/logo/104xx/10448/normal_97b64b1d07c0382a.jpg
163,Danaher,161,https://craft.co/danaher,https://uploads1.craft.co/uploads/company/logo/391xx/39183/normal_bb2fa756569ebe70.jpg
164,Whirlpool,162,https://craft.co/whirlpool,https://uploads5.craft.co/uploads/company/logo/405xx/40514/normal_c8a81854d7a06e2f.jpg
165,AECOM,163,https://craft.co/aecom,
166,Netflix,164,https://craft.co/netflix,https://uploads3.craft.co/uploads/company/logo/2xx/218/normal_89677de6b790b002.png
167,Kohl's,165,https://craft.co/kohls,https://uploads5.craft.co/uploads/company/logo/2474xx/247419/normal_5a7cf71c66ce9290.jpg
168,Lear,166,https://craft.co/lear-corporation,https://uploads1.craft.co/uploads/company/logo/1186xx/118619/normal_f70dc6d3688aadd0.jpg
169,Altria Group,167,https://craft.co/altria-group,https://uploads4.craft.co/uploads/company/logo/2304xx/230419/normal_AG_pos_fullws_nor_a.jpg
170,Performance Food Group,168,https://craft.co/performance-food-group,https://uploads4.craft.co/uploads/company/logo/2493xx/249354/normal_fda7b01388e4d2eb.png
171,Avnet,169,https://craft.co/avnet,https://uploads4.craft.co/uploads/company/logo/486xx/48625/normal_2251a3fab1144761.png
172,Synchrony Financial,170,https://craft.co/synchrony-financial,https://uploads3.craft.co/uploads/company/logo/112xx/11217/normal_c5caa2471a1ac245.png
173,Genuine Parts,171,https://craft.co/genuine-parts-company,https://uploads1.craft.co/uploads/company/logo/1231xx/123168/normal_ff7cdd74dde93f58.jpg
174,NextEra Energy,172,https://craft.co/nextera-energy,https://uploads1.craft.co/uploads/company/logo/111xx/11123/normal_c53d8b9b122206b9.png
175,CarMax,173,https://craft.co/carmax,https://uploads3.craft.co/uploads/company/logo/1261xx/126167/normal_0c15bbe58cfcc94f.jpg
176,Tenet Healthcare,174,https://craft.co/tenet-healthcare,https://uploads3.craft.co/uploads/company/logo/1157xx/115794/normal_f92f10ebf5fdcf8f.png
177,Kimberly-Clark,175,https://craft.co/kimberly-clark,https://uploads1.craft.co/uploads/company/logo/18xx/1833/normal_76ec52d760c81d92.jpeg
178,Emerson Electric,176,https://craft.co/emerson,https://uploads1.craft.co/uploads/company/logo/110xx/11052/normal_1d9a5b69fc6c947a.jpeg
179,WestRock,177,https://craft.co/westrock,https://uploads2.craft.co/uploads/company/logo/1286xx/128670/normal_53ea178ebe5ad864.jpg
180,CDW,178,https://craft.co/cdw,https://uploads2.craft.co/uploads/company/logo/1167xx/116724/normal_199a237ca6d0ee27.jpg
181,Jones Lang LaSalle,179,https://craft.co/jones-lang-lasalle,https://uploads2.craft.co/uploads/company/logo/1381xx/138149/normal_ad0538c6cc0ac813.png
