,companyName,Ranking Actual,craftWebsite,imgUrl,color_rgb,numberOfColor
93,FirstEnergy,294,https://craft.co/firstenergy,https://uploads1.craft.co/uploads/company/logo/110xx/11062/normal_7b4becf83af8e6c0.jpg,"[((255, 255, 255), 13226), ((54, 54, 54), 911), ((92, 143, 200), 113), ((143, 143, 143), 105), ((0, 66, 153), 45)]",5
94,eBay,295,https://craft.co/ebay,https://uploads3.craft.co/uploads/company/logo/148xx/14820/normal_NCDCFXva.jpeg,"[((255, 255, 255), 5819), ((20, 91, 169), 117), ((137, 176, 35), 114), ((236, 198, 101), 98), ((238, 145, 153), 73), ((208, 63, 78), 61), ((230, 255, 178), 60), ((96, 137, 165), 45), ((29, 69, 218), 5), ((137, 156, 90), 3), ((197, 198, 252), 2), ((128, 81, 136), 2), ((247, 159, 0), 1)]",13
95,Boston Scientific,296,https://craft.co/boston-scientific,https://uploads3.craft.co/uploads/company/logo/103xx/10380/normal_53e8a9cf46d490df.jpg,"[((15, 72, 127), 3358), ((226, 255, 255), 145), ((113, 147, 182), 97)]",3
96,Office Depot,297,https://craft.co/office-depot,https://uploads1.craft.co/uploads/company/logo/879xx/87961/normal_501ec31aa73c7501.jpg,"[((181, 3, 1), 12756), ((255, 254, 255), 889), ((125, 44, 43), 586), ((179, 130, 133), 155), ((26, 5, 4), 13), ((244, 116, 113), 1)]",6
97,Molson Coors Beverage,298,https://craft.co/molson-coors,https://uploads5.craft.co/uploads/company/logo/20xx/2036/normal_019777853cc87d75.jpg,"[((10, 24, 51), 13518), ((252, 255, 255), 455), ((155, 158, 163), 231), ((238, 175, 12), 146), ((248, 225, 158), 27), ((209, 134, 79), 17), ((69, 77, 62), 4), ((238, 95, 39), 2)]",8
98,Steel Dynamics,299,https://craft.co/steel-dynamics,https://uploads5.craft.co/uploads/company/logo/2029xx/202974/normal_d7fe4f2fbe7d4b34.png,"[((255, 255, 255), 11393), ((178, 5, 16), 1936), ((7, 2, 1), 846), ((116, 115, 114), 158), ((229, 153, 152), 66)]",5
99,Mutual of Omaha Insurance,300,https://craft.co/mutual-of-omaha,https://uploads3.craft.co/uploads/company/logo/2563xx/256319/normal_306d7a574d16f80d.jpg,"[((255, 255, 255), 8958), ((26, 55, 99), 5295), ((123, 163, 173), 104), ((0, 0, 0), 39), ((0, 1, 84), 4)]",5
100,Sonic Automotive,301,https://craft.co/sonic-automotive,https://uploads3.craft.co/uploads/company/logo/1558xx/155891/normal_0fbf97e6e617ef7e.jpg,"[((255, 255, 255), 13696), ((170, 0, 0), 449), ((207, 142, 136), 255)]",3
101,Alcoa,302,https://craft.co/alcoa,https://uploads4.craft.co/uploads/company/logo/1187xx/118775/normal_edc1118a29742f26.jpg,"[((2, 84, 140), 12739), ((251, 255, 255), 1578), ((115, 140, 162), 82), ((2, 24, 45), 1)]",4
102,Fidelity National Information Services,303,https://craft.co/fidelity-national-information-services,,0,0
