,companyName,Ranking Actual,craftWebsite,imgUrl
135,Jones Financial (Edward Jones),336,https://craft.co/edward-jones,
136,Hormel Foods,337,https://craft.co/hormel-foods-corporation,https://uploads4.craft.co/uploads/company/logo/107xx/10752/normal_3401193deee3fa84.png
137,Hilton Worldwide Holdings,338,https://craft.co/hilton-worldwide,https://uploads2.craft.co/uploads/company/logo/19xx/1939/normal_2fe8efd36e9a7e10.jpg
138,Univar Solutions,339,https://craft.co/univar-solutions,https://uploads1.craft.co/uploads/company/logo/732xx/73281/normal_29b1ad3cc06cf998.png
139,United Rentals,340,https://craft.co/united-rentals,https://uploads2.craft.co/uploads/company/logo/1669xx/166945/normal_qvG1AgS_.jpeg
140,Pioneer Natural Resources,341,https://craft.co/pioneer-natural-resources-company,https://uploads2.craft.co/uploads/company/logo/114xx/11476/normal_a1c54d48d1b9e6be.png
141,Delek US Holdings,342,https://craft.co/delek-us-holdings,https://uploads4.craft.co/uploads/company/logo/1929xx/192957/normal_f9914213d133101e.jpg
142,Eastman Chemical,343,https://craft.co/eastman-chemical,https://uploads3.craft.co/uploads/company/logo/1152xx/115246/normal_a87d09f86a1d759d.jpg
143,EMCOR Group,344,https://craft.co/emcor-group,https://uploads2.craft.co/uploads/company/logo/1216xx/121643/normal_b1065653acede24d.jpeg
144,Avis Budget Group,345,https://craft.co/avis-budget-group,https://uploads4.craft.co/uploads/company/logo/19xx/1931/normal_t5CrGQ7a.jpg
145,J.B. Hunt Transport Services,346,https://craft.co/jb-hunt-transport,https://uploads3.craft.co/uploads/company/logo/1284xx/128498/normal_JBH.jpg
146,Xerox Holdings,347,https://craft.co/xerox,https://uploads3.craft.co/uploads/company/logo/198xx/19834/normal_1e98615b8fc09cd0.jpg
147,Wayfair,348,https://craft.co/wayfair,
148,KKR,349,https://craft.co/kkr,
149,AGCO,350,https://craft.co/agco,https://uploads3.craft.co/uploads/company/logo/1142xx/114223/normal_683bebf5a5cbd1e4.png
150,Alleghany,351,https://craft.co/alleghany-corporation,https://uploads3.craft.co/uploads/company/logo/1276xx/127616/normal_6bf985f2fb8778d3.jpg
151,Icahn Enterprises,352,https://craft.co/icahn-enterprises,https://uploads1.craft.co/uploads/company/logo/776xx/77648/normal_b4c871d495d5b26b.jpg
152,Voya Financial,353,https://craft.co/voya-financial,https://uploads4.craft.co/uploads/company/logo/118xx/11893/normal_25b813edc5de7268.jpeg
153,Ryder System,354,https://craft.co/ryder-system,https://uploads1.craft.co/uploads/company/logo/111xx/11157/normal_C4kpfnTq.jpg
154,Air Products & Chemicals,355,https://craft.co/air-products,https://uploads1.craft.co/uploads/company/logo/106xx/10668/normal_9450b005d437c920.png
155,Mosaic,356,https://craft.co/mosaic,https://uploads1.craft.co/uploads/company/logo/859xx/85954/normal_8fe56b65a7e9e16c.jpeg
156,Huntington Ingalls Industries,357,https://craft.co/huntington-ingalls-industries,https://uploads3.craft.co/uploads/company/logo/2113xx/211368/normal_67a0a8ac5704aca4.jpg
157,Berry Global Group,358,https://craft.co/berry-global,https://uploads5.craft.co/uploads/company/logo/1274xx/127471/normal_33ad8c1ecd417c74.jpg
158,Anixter International,359,https://craft.co/anixter-international,
159,Alaska Air Group,360,https://craft.co/alaska-air-group,https://uploads2.craft.co/uploads/company/logo/599xx/59900/normal_eb0f73d51e91ba49.jpg
160,Yum China Holdings,361,https://craft.co/yum-china,https://uploads1.craft.co/uploads/company/logo/14057xx/1405777/normal_e2b9eb1c5a21bc12.png
161,Dick's Sporting Goods,362,https://craft.co/dicks-sporting-goods,https://uploads2.craft.co/uploads/company/logo/1278xx/127859/normal_bbe9fe034688d1b0.png
162,Caesars Entertainment,363,https://craft.co/caesars-entertainment,https://uploads1.craft.co/uploads/company/logo/19xx/1932/normal_45d294182470d80b.jpg
163,Genworth Financial,364,https://craft.co/genworth-financial,https://uploads5.craft.co/uploads/company/logo/105xx/10552/normal_9d9c305e7dd22131.jpeg
