,companyName,Ranking Actual,craftWebsite,imgUrl,color_rgb,numberOfColor
60,Morgan Stanley,61,https://craft.co/morgan-stanley,https://uploads3.craft.co/uploads/company/logo/6xx/667/normal_741d9b1940ac810e.jpg,"[((0, 43, 80), 13991), ((255, 255, 255), 320), ((160, 164, 173), 89)]",3
61,Caterpillar,62,https://craft.co/caterpillar,https://uploads2.craft.co/uploads/company/logo/18xx/1811/normal_e5cbcdcbb457d60e.png,"[((255, 255, 255), 12105), ((0, 0, 0), 1640), ((255, 200, 31), 442), ((93, 93, 93), 207), ((254, 235, 159), 5)]",5
62,Cisco Systems,63,https://craft.co/cisco,https://uploads1.craft.co/uploads/company/logo/2xx/257/normal_e3b0d0c6e288610f.png,"[((0, 188, 235), 13521), ((255, 255, 255), 878)]",2
63,Pfizer,64,https://craft.co/pfizer,https://uploads5.craft.co/uploads/company/logo/20xx/2067/normal_e7c66632264feb2f.jpg,"[((255, 255, 255), 2413), ((51, 189, 238), 1001), ((4, 115, 184), 186)]",3
64,HCA Healthcare,65,https://craft.co/hca-healthcare,https://uploads2.craft.co/uploads/company/logo/110xx/11087/normal_609c9877fd7512bb.png,"[((255, 255, 255), 12998), ((10, 24, 61), 878), ((113, 118, 135), 320), ((231, 103, 56), 191), ((240, 165, 137), 12)]",5
65,AIG,66,https://craft.co/aig,https://uploads1.craft.co/uploads/company/logo/1450xx/145038/normal_2f3ef654187826e4.jpeg,"[((238, 238, 238), 12776), ((1, 7, 65), 1195), ((85, 88, 129), 429)]",3
66,American Express,67,https://craft.co/american-express,https://uploads5.craft.co/uploads/company/logo/166xx/16640/normal_35b2051d80056a0d.png,"[((1, 111, 208), 13044), ((255, 255, 255), 1130), ((141, 178, 232), 215), ((0, 69, 209), 10)]",4
67,Delta Air Lines,68,https://craft.co/delta-airlines,https://uploads4.craft.co/uploads/company/logo/19xx/1935/normal_5a5ed1d91ce7eca1.png,"[((1, 56, 113), 2004), ((154, 1, 48), 1464), ((233, 24, 54), 103), ((100, 17, 66), 29)]",4
68,Merck,69,https://craft.co/merck-%26-co,,0,0
69,American Airlines Group,70,https://craft.co/american-airlines,https://uploads2.craft.co/uploads/company/logo/19xx/1930/normal_235100d47d034243.jpg,"[((255, 255, 255), 13322), ((193, 26, 33), 548), ((5, 161, 218), 358), ((136, 50, 53), 79), ((3, 83, 144), 51), ((112, 120, 131), 34), ((221, 156, 154), 6), ((0, 13, 52), 2)]",8
70,Charter Communications,71,https://craft.co/charter,https://uploads1.craft.co/uploads/company/logo/2xx/256/normal_ad4f42ed0290bade.png,"[((255, 255, 255), 13185), ((34, 107, 151), 723), ((159, 159, 159), 491)]",3
71,Allstate,72,https://craft.co/allstate,https://uploads4.craft.co/uploads/company/logo/104xx/10470/normal_ebaab6e0cfbc8cfd.jpeg,"[((35, 62, 151), 12302), ((252, 255, 255), 1562), ((76, 88, 130), 494), ((164, 170, 204), 40), ((0, 0, 4), 1), ((0, 3, 58), 1)]",6
72,New York Life Insurance,73,https://craft.co/new-york-life-insurance-company,https://uploads1.craft.co/uploads/company/logo/1287xx/128722/normal_31f3a3cc14c332cd.png,"[((15, 121, 191), 5047), ((255, 255, 255), 1290), ((140, 189, 224), 63)]",3
73,Nationwide,74,https://craft.co/nationwide,,0,0
74,Best Buy,75,https://craft.co/best-buy,https://uploads2.craft.co/uploads/company/logo/149xx/14913/normal_20ff0c7e57d37cc9.jpg,"[((0, 70, 194), 11453), ((247, 255, 255), 2096), ((37, 69, 128), 346), ((253, 238, 0), 255), ((121, 169, 245), 161), ((170, 195, 138), 39), ((101, 104, 119), 37), ((213, 239, 106), 8), ((0, 9, 95), 2), ((136, 135, 0), 2), ((0, 5, 29), 1)]",11
75,United Airlines Holdings,76,https://craft.co/united-airlines,https://uploads4.craft.co/uploads/company/logo/1694xx/169402/normal_8c1a5e0c0d4b1d47.jpg,"[((30, 64, 151), 6540), ((4, 181, 231), 4406), ((255, 255, 255), 3317), ((82, 97, 128), 134), ((0, 4, 44), 3)]",5
76,Liberty Mutual Insurance Group,77,https://craft.co/liberty-mutual-insurance,https://uploads4.craft.co/uploads/company/logo/1231xx/123150/normal_4246494cb7ed3fc2.jpg,"[((254, 208, 0), 9533), ((26, 19, 70), 2185), ((255, 255, 255), 1954), ((52, 44, 25), 403), ((127, 126, 132), 142), ((136, 119, 47), 128), ((255, 244, 130), 55)]",7
77,Dow,78,https://craft.co/dow,https://uploads4.craft.co/uploads/company/logo/18xx/1816/normal_d95575f68e611c8d.jpg,"[((255, 255, 255), 12750), ((233, 1, 49), 1209), ((191, 71, 98), 376), ((241, 177, 191), 61), ((125, 82, 92), 4)]",5
78,Tyson Foods,79,https://craft.co/tyson-foods,https://uploads5.craft.co/uploads/company/logo/1136xx/113684/normal_a134dfefcfc8d60c.jpeg,"[((0, 36, 84), 13095), ((254, 255, 255), 1068), ((126, 132, 146), 236), ((53, 53, 55), 1)]",4
